workerid,super_endorsement,strength,trial_num,target,degree,paraphrase0,gender,condition,contextWithSuper,adjective,super_category,form,names,context,paraphrase1,sub_endorsement,contextWithSuperPronoun,sub_category
0,0.62,1,1,short,time,sub_plural,female,contextWithSuper, is searching for things to watch online with their friend and finds a video of a cute animal.,short,things you watch online,negative,Mika, finds a video of a cute animal to watch online with their friend.,super,0.37,,video of the cute animal
0,0.39,3,2,heavy,weight,sub_plural,male,contextWithSuper, is in the produce section of the supermarket and picks up a watermelon.,heavy,produce,positive,William, picks up a watermelon.,super,0.72,,watermelon
0,0.43,1,3,warm,temperature,sub_plural,female,contextWithSuper," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Winter.",warm,days of the year,positive,Natalia, lives in Maryland and steps outside in Winter.,super,0.67,She,day in Winter
0,0.64,2,4,light,weight,sub_plural,female,contextWithSuper, is in the produce section of the supermarket and picks up an apple.,light,produce,negative,Alicia, picks up an apple.,super,0.28,,apple
0,0.35,3,5,cold,temperature,sub_plural,male,contextWithSuper," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Summer.",cold,days of the year,negative,Simon, lives in Maryland and steps outside in Summer.,super,0.65,He,day in Summer
0,0.72,1,6, tall,height,sub_plural,male,contextWithSuper, is sitting at a cafe watching people go by and sees a professional gymnast.,tall,people,positive,Cameron, sees a professional gymnast.,super,0.37,,gymnast
0,0.2,3,7,cheap,price,sub_plural,male,contextWithSuper, is at a kitchen appliance store and is looking at an oven.,cheap,kitchen appliances,negative,Gary, is buying an oven.,super,0.71,,oven
0,0.21,2,8,short,time,sub_plural,female,contextWithSuper, is searching for things to watch online with their friend and finds a music video.,short,things you watch online,negative,Jennifer, finds a music video to watch online with their friend.,super,0.56,,music video
0,0.27,2,9,cold,temperature,sub_plural,female,contextWithSuper," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Fall.",cold,days of the year,negative,Maya, lives in Maryland and steps outside in Fall.,super,0.57,She,day in Fall
0,0.21,1,10,expensive,price,sub_plural,female,contextWithSuper, is at a kitchen appliance store and is looking at a can opener.,expensive,kitchen appliances,positive,Jasmine, is buying a can opener.,super,0.65,,can opener
0,0.49,1,11,heavy,weight,sub_plural,female,contextWithSuper, is in the produce section of the supermarket and picks up a grape.,heavy,produce,positive,Kim, picks up a grape.,super,0.76,,grape
0,0.62,3,12, short,height,sub_plural,female,contextWithSuper, is sitting at a cafe watching people go by and sees a professional basketball player.,short,people,negative,Monica, sees a professional basketball player.,super,0.25,,basketball player
0,0.32,3,13,short,time,sub_plural,male,contextWithSuper, is searching for things to watch online with their friend and finds a movie.,short,things you watch online,negative,David, finds a movie to watch online with their friend.,super,0.69,,movie
0,0.68,2,14, short,height,sub_plural,male,contextWithSuper, is sitting at a cafe watching people go by and sees a professional soccer player.,short,people,negative,Charles, sees a professional soccer player.,super,0.3,,soccer player
0,0.28,2,15,expensive,price,sub_plural,male,contextWithSuper, is at a kitchen appliance store and is looking at a toaster.,expensive,kitchen appliances,positive,Gabriel, is buying a toaster.,super,0.63,,toaster
1,0.18,3,1,cheap,price,super,female,contextWithSuper, is at a kitchen appliance store and is looking at an oven.,cheap,kitchen appliances,negative,Julia, is buying an oven.,sub_plural,0.86,,oven
1,0.21,2,2, short,height,super,male,contextWithSuper, is sitting at a cafe watching people go by and sees a professional soccer player.,short,people,negative,Stephen, sees a professional soccer player.,sub_plural,0.85,,soccer player
1,0.46,1,3,cold,temperature,super,female,contextWithSuper," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Winter.",cold,days of the year,negative,Kim, lives in Maryland and steps outside in Winter.,sub_plural,0.82,She,day in Winter
